Date,Transaction,Receiver,Amount
8/19/2022 12:06,26dbff018a63e7058b1d39027da67d2310b8bd82f9ed85d1fc0aabf7752c34b8,Exir,10000
8/16/2022 17:32,92f7da34ad9b6e24363f3afe9f87730aa6eea6b0765fd20e798f44d21fdd08bb,Exir,100000
7/19/2022 12:03,14327ba1fa5ce2b54d893a74354c6e466fb25bae30d59f73a6711c2db67cf283,Exir,50000
5/5/2022 8:20,faa61d7b3c91080608ac50b47e1fc36e6e441474c91df3ca3b84c3fde2d6d68f,Exir,50000
5/3/2022 3:22,c5b5f6343129ea06bf48b99b5f0a5a4d0c0b35afe458d8ce25310f8ef3e82178,Exir,100000
4/26/2022 7:05,6bc79e22df772338131a03b32f77536b73f5c575d92d5603241b23e31050290b,Exir,50000
3/30/2022 8:23,33f0d4da4784f93e539d2929ce4dfba15bdad2a729780e5bf544ba6bc5f673d1,Exir,60000
3/28/2022 7:00,9f68bda27530a2b6afce258f3521468b999b72dfb36e35b595feb42376870496,Exir,100000
3/22/2022 12:05,8c779906a026fc23861115ffb8fc057e258368ee57ff5dbcdf0fa026c3f72072,Exir,150000
3/17/2022 7:05,3b5070aa111efa2db6a0542d638ee58fe2fd5b1526781bd08235eb9c760f6e48,Exir,100000
2/17/2022 7:05,cde5f5f153d0debafc850563c5b76e46ed5a17c52fde3cec2731c86a9c231294,Exir,70000
2/10/2022 8:20,93d1de69176547955f8e3429f29710ee8c9e4441e85cba2edc868bd10aafd7e3,Exir,55000
2/8/2022 7:05,5d8babe3da3b6280ba7401139793a838fc51f431eeeda9fc0a82d2f60f940bec,Exir,100000
2/6/2022 2:05,78199c9a1b6cd8f90d493f2c5d81a0bcd7144f27000ffef2d73de28870b88a17,Exir,100000
12/24/2021 2:10,fac115e50e331822414f0688eb2f8ddaa36bcb67c801aa88d84d6220771616bd,Exir,90000
