Date,Hash/Parent Hash,Amount,Receiver,"Fee, Gwei"
11/20/2022 8:34,0x42eb4e74378c1cdb60e35fcc22b0f5ee3c13915e0f8ecb420869f97dac4ba5b1,1151232000,bit24,269223.5549
11/19/2022 22:12,0x7438693b9deb0d51f921e1b77c3f3dcd2fb946dfbcfbad2f19fb428b03814829,2704432000,bit24,264723.4237
11/19/2022 14:24,0xb917d46bc0815b83876bb11e3605e63edd81231b6bdf31be9c6e8885acbcb77f,2739232000,bit24,259591.4844
11/18/2022 20:44,0x846d650b35e36079f2a130ce778be3a0c57f8a6d549846043e0de22544f25985,2731532000,bit24,295374.7267
11/17/2022 0:24,0x2bc23ceba4d19d3beb8091a44b2bc34137efbc8beaaa9e4960899b6c0faacf3a,3089832000,bit24,315187.2716
11/16/2022 8:53,0xe976e8ff80776ef9ec32eb558c9b22652aa2ff7338dec4a41b9b3fadf803fb65,3093632000,bit24,305397.555
11/15/2022 20:44,0x116f872be89523bf201e478ebba0fbdd5a5f72c50d18e0753daf5aa7694ff376,2826332000,bit24,379365.2237
11/15/2022 5:05,0xd9ab41d36051f5b7ce8fd02ad92f2d3d4c5bc1fba6a3943715b05d72daeee222,2943632000,bit24,313888.0249
11/13/2022 10:12,0x4f9decce9ba184258cad0dc48035e43bf88bce7b252cb3bd21f23f45f9bbaec6,2806432000,bit24,292936.3688
11/13/2022 7:32,0x6019502ac6ed207770c908a52dbd8c8ffafce7788f21dfbe0826f98506a6c4f4,2809132000,bit24,283564.1371
11/10/2022 18:44,0x220657b112633e186e0186151fac3d0d9f33fd19540a586625a8ae39056dc3d4,3123632000,bit24,602370.5147
11/10/2022 11:32,0xb318af0b806a8403b8fd1e31cb72dfca028a386030e8b7c669e4155b6810d857,2792232000,bit24,579522.5918
11/10/2022 9:28,0x0aa8d83a97debb046663c62604e57db61893be466432c9180d478a6c4b7b33d4,2838232000,bit24,516631.4293
11/10/2022 5:13,0xfe5ceaa1530b726e826039742708f1bb5399199a6ee4144c7a63470fdd95baf9,2748632000,bit24,417166.7787
11/9/2022 23:08,0x04077bdfdd45900c629da8eeb964395e14ce671f0b9573cbdf5bcf046b1c1d55,4549132000,bit24,2498580.079
