Date,Hash/Parent Hash,Amount,Receiver,"Fee, Gwei"
5/6/2023 9:51,0x9384a5164ed0f2d84786b7adc5d47b12614bb4de7d06f9ce38f2344e22beb541,1.00E+12,Nobitex,2232062.181
4/26/2023 17:49,0x157d324f47f9c249a69e695e31b0e4f952ef3d86010123012b07ee851dc8d2dc,1.00E+12,Nobitex,798902.3451
4/13/2023 0:55,0x21de195d2e5b9762647c63d2f0e6fa971853a332e42c817f4080b880d2dc173e,1.00E+12,Nobitex,478914.5979
3/29/2023 9:00,0xc49c55fe865f4a7ce1fdfd4b5d4acd44ed90470dcd44e764c744c48aa48c4b7e,1.00E+12,Nobitex,771414.764
3/20/2023 20:08,0x1ad4a8d9c9c47f0e1fa0d4fd5cd129f504849ed89a9b8bd503f8d3be567e1243,1.00E+12,Nobitex,576493.4061
3/15/2023 20:45,0x0bd880a25450cbf185e13b99b5d5434d9f97b2b149c7b25ce11a4341bf7defcd,1.00E+12,Nobitex,472414.1405
2/22/2023 13:53,0xe0fdd535c5dcde92f8a4265c249d0b96d450b3e3758dbb8879ffd232866b6617,1.00E+12,Nobitex,711254.9886
2/16/2023 7:52,0x81226d9d5e5d252f8ab76fd8cc9b32c2e635386648aa025046b52135d14fb4fd,1.00E+12,Nobitex,21000000
2/10/2023 9:39,0xf2baeb68009ea5058ed6231807ce632065dd6348b8b2b4a2ee6c9bca40452f95,1.00E+12,Nobitex,438230.8756
1/28/2023 6:23,0xe1ecb9b053b46c6ee1255282179f01cb550924d8e192d00e98a00cc57a68a8d1,1.00E+12,Nobitex,299078.1137
1/13/2023 5:22,0x0594b241f1cef089b04517b74189e8fb9faa05bedb26bedcca11e16074a9019f,7.00E+11,Nobitex,316127.1766
1/3/2023 17:33,0xb61ff187d4b81cb64017e23d970b7a6716a287c0ecd604d2bbcdb5b011308ced,1.00E+12,Nobitex,683536.633
12/17/2022 5:57,0x2d31c062ec651578390100febe7c1d858c0d137fe0393d9debc9f556e43a8c6d,1.00E+12,Nobitex,301367.7331
12/10/2022 6:59,0xe54d02317330062d9544f84bdd0f2a601c2a0027ab4a66c31e74334b2dfa1603,1.00E+12,Nobitex,362555.4766
12/2/2022 7:22,0x583d3819f5d10dda26d7441b529b5f6a5196be8cb89085dd77de194c5fc8f379,1.00E+12,Nobitex,264383.7739
11/21/2022 15:30,0x9a038c5313732439550448c6ab0aea0410fd7fadd7e33568664ccb2acffb981d,1.00E+12,Nobitex,297162.7432
11/11/2022 17:18,0xac786409c4bab22ad8f994ec71c8e80df20e81cf04e4bce43196496f190a1134,1.00E+12,Nobitex,522830.2292
11/2/2022 11:22,0x441180da6bd9886ea40ac7a06cfb786eec6770d94d2abb98372aabea451db293,1.00E+12,Nobitex,215329.1618
10/17/2022 14:03,0x9b81308df42ea963ef676e72def9176c52ccd264c4564a8a172c2e748536b221,1.00E+12,Nobitex,525000
9/12/2022 3:41,0x40f248074d0626656da88151b87f554a357fab68e0d45a1f79965c47b0ad3c61,1.00E+12,Nobitex,241298.3126
9/8/2022 14:15,0x2b4fcdd37d49e2bad961e834f8099a56af7b002e3b0aaf55c8aa418c75c00f96,1.00E+12,Nobitex,302330.8021
9/2/2022 12:50,0xa56e8a634311196d210999e2a27b9d6593284d647acf342e1f0bc96575116659,1.00E+12,Nobitex,290316.1365
8/24/2022 11:07,0x9f0dc1c858dc56cf0574b7ee1237646adc8822432127ce51f193a7c219f661f2,1.00E+12,Nobitex,161311.0077
8/10/2022 19:23,0xa32b4c2128002b91c47d2daa21fed5b09127c65bea111cd656f01b7c499a6b3e,1.00E+12,Nobitex,632664.9397
8/6/2022 3:10,0xa3224e3f66afa20180b3db186804c40c24ecd934907a0e2e074ca2d0f07b0820,1.00E+12,Nobitex,211463.1316
7/28/2022 11:13,0x0c6b60a502be720a6943849ab330075171c600222c46a789bd04d7614570af9c,1.00E+12,Nobitex,154657.7469
7/24/2022 12:32,0x0af38116a27250a802bac65c7ef222ccdb99ea49be87d2ba63c97fe1c761697d,1.00E+12,Nobitex,209684.4049
7/18/2022 4:57,0x93bdc4042a019bd1b09eb1a7309a19845612256031ac11092bacf118dd6cabcb,1.00E+12,Nobitex,572991.4078
7/8/2022 5:10,0xbf0e9b53ce1eb7a125f733388283f9b5d113d9b3abb32d075df64b9a180c8f75,1.00E+12,Nobitex,648181.7915
7/4/2022 15:57,0x0668532646994b7dfd1815a20c05e16973b5eca9dbb81b73c05c1f68eecdd78f,1.00E+12,Nobitex,1086663.45
6/25/2022 5:03,0x19de0b0e334c79866badd8b3aae1b8e8563be83fd35592ddda201e58c0f28d46,1.00E+12,Nobitex,520223.5779
6/21/2022 8:26,0xb1d12bef11a123fe8e6f734d10a9ef5cf14cc0abb5cc6b4a0787a97a613c7421,1.00E+12,Nobitex,548314.7628
6/15/2022 21:58,0xe082acbd844b863bd23024abd62d61f778026ffa509274c99173786150e626d3,1.00E+12,Nobitex,987308.9866
6/8/2022 14:04,0x461bf111a4994564ca8a3b37d7242f58431519460ff146cc7ff2d905592c6057,1.00E+12,Nobitex,1517520.827
5/30/2022 9:46,0x9071fc186285a0013c67e2c98b8033a2a00ebc36f1231809344e6f5195d985b8,1.00E+12,Nobitex,548957.8711
